Date,Hour,AMPM,Temp_C
6/21/2018,3:00:00,AM,15.247
6/21/2018,4:00:00,AM,14.649
6/21/2018,5:00:00,AM,14.242
6/21/2018,6:00:00,AM,14.098
6/21/2018,7:00:00,AM,13.906
6/21/2018,8:00:00,AM,14.026
6/21/2018,9:00:00,AM,14.242
6/21/2018,10:00:00,AM,14.697
6/21/2018,11:00:00,AM,15.986
6/21/2018,12:00:00,PM,18.081
6/21/2018,1:00:00,PM,23.641
6/21/2018,2:00:00,PM,18.961
6/21/2018,3:00:00,PM,20.46
6/21/2018,4:00:00,PM,16.32
6/21/2018,5:00:00,PM,15.509
6/21/2018,6:00:00,PM,13.714
6/21/2018,7:00:00,PM,13.762
6/21/2018,8:00:00,PM,13.401
6/21/2018,9:00:00,PM,13.762
6/21/2018,10:00:00,PM,14.026
6/21/2018,11:00:00,PM,15.055
